Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Oracle PL / SQL Developer,Uline,"Pleasant Prairie, WI 53158","  Troubleshoot and resolve software issues promptly.  2200 S. Lakeside Drive, Waukegan, IL 60085.  Apply industry best practices and cutting-edge techniques to… ",,"$96,000 - $200,000 a year",
Principal Software Developer,Raytheon,"Huntsville, AL 35806","  Experience leading and delivering software products to commercial and/or government customers.  Familiarity with software development methodologies (Agile,… ",,"$96,000 - $200,000 a year",
Software Developer I,Ironwood Cyber Inc,Remote,  Basic understanding of software development and DevOps.  Support the design and development of software systems. EmployerActive 5 days ago·More...,,"$96,000 - $200,000 a year",Active 5 days ago
Junior Software Developer,Fusion Technology-LLC,"Remote in Bridgeport, WV 26330","  The software developer will be responsible for developing and maintaining Jaa Spring Boot REST services, SOAP services, web applications, as well as custom… EmployerActive 3 days ago·More...",,"$96,000 - $200,000 a year",Active 3 days ago
Software Developer,Tepa,"Remote in Ashburn, VA 20147","  As a software developer, you will develop and implement solutions to meet functional and technical requirements, follow established software development… ·More...",,"$96,000 - $200,000 a year",
Junior Software Developer,Fusion Technology-LLC,"Remote in Arlington, VA 22203",  Analyze user needs and develop software solutions.  Set operational specifications and formulate and analyzes software requirements. EmployerActive 3 days ago·More...,,"$96,000 - $200,000 a year",Active 3 days ago
Embedded Systems Engineer,Gladiator Technologies,"Snoqualmie, WA 98065","  Solid understanding of software development methodologies.  Work collaboratively with cross-functional teams, including hardware engineers, software developers,… EmployerActive 6 days ago",,"$96,000 - $200,000 a year",Active 6 days ago
Software Developer,Wellness Life,Remote,  We are seeking a skilled Bubble Developer with experience in building and maintaining web applications on the Bubble.io platform. ·More...,,"$96,000 - $200,000 a year",
Software Developer,"APTEUM, LLC","Hasbrouck Hts, NJ","  Full stack developer with a strong background in database design.  Strong understanding of software development methodologies, particularly Agile practices. EmployerActive 4 days ago·More...",,"$96,000 - $200,000 a year",Active 4 days ago
.NET Software Developer - Remote anywhere in the US,KinderSystems,Remote,  The candidate will work closely with more experienced developers and will gain hands-on experience in software development and support. ·More...,,"$96,000 - $200,000 a year",
"Software Engineer, Frontend","Anaconda, Inc.",Remote,  Create and maintain software documentation.  Hands on experience working on software that is in production (that customers use). ·More...,,"$96,000 - $200,000 a year",
Software Developer I,MxV Rail,"Remote in Pueblo, CO 81001","  We seek talented, highly motivated, experienced developers to maintain and grow MxV Rail’s software portfolio and use innovative techniques in a mature industry… ·More...",,"$96,000 - $200,000 a year",
Software Developer,revology,Remote,"  5+ years of experience as a software developer.  The software developer role is responsible for designing, developing, and maintaining our web applications and… ·More...",,"$96,000 - $200,000 a year",
AP098 Scientific Software Developer,"ADNET Systems, Inc.","Greenbelt, MD","  Responsibilities of the scientific software developer include incorporating new features and analysis methods, interacting with the scientific community,… ",,"$96,000 - $200,000 a year",
"Software Developer, Backend (Mid-Level)",Sketchy,Remote,"  Collaborate with fellow Sketchy engineers, product designers, and product managers to design, review, and build well-crafted software. ·More...",,"$96,000 - $200,000 a year",
software developer jobs in United States,,,,,,
Sr Control Systems Developer I,"Interstates, Inc.","Wolfforth, TX 79382","  Provide configuration, installation and troubleshooting of HMI/PC/PLC hardware and software, and customer networks at customer’s site. ",,"$90,000 - $115,000 a year",
Applications Developer,D4 Solutions,"Addison, IL 60101","  5 years of experience in development software.  This position involves troubleshooting print and application issues, maintaining standard operating procedures… EmployerActive 4 days ago",,"$90,000 - $115,000 a year",Active 4 days ago
Software Engineer for AI Training Data (Python),G2i Inc,Remote,  3+ years of experience in a software engineering/software development role.  We are seeking software engineers with 3+ years of experience to train AI large… EmployerActive 4 days ago,,"$90,000 - $115,000 a year",Active 4 days ago
Full Stack Developer,Rethink,"New York, NY 10001 (NoMad area)","  NET Developer to a very successful and growing team.  Candidate will develop, design, test and deploy websites as well as support and maintain existing… ",,"$90,000 - $115,000 a year",
Automation Engineer / Controls Engineer,Alcami,"North Charleston, SC 29405",  Solid understanding of computer programming and software development.  Mastery of a variety of automation software applications. EmployerActive 4 days ago,,"$90,000 - $115,000 a year",Active 4 days ago
Senior Software Engineer (In Office),Nexee LLC,"Boca Raton, FL 33431",  5+ years of software development experience.  You will play a key role in both shaping and implementing the technology that drives Nexee's innovative solutions. EmployerActive 4 days ago,,"$90,000 - $115,000 a year",Active 4 days ago
Software Engineer,Creative Technology Solutions,"Falls Church, VA 22042","  3 to 5 years of software development experience.  1+ year of relevant software development experience in .  Test software routinely for bugs, redundancies, and… EmployerActive 14 days ago",,"$90,000 - $115,000 a year",Active 14 days ago
Software Developer,Medical Informatics Engineering Inc,"Remote in Fort Wayne, IN 46802","  At least 1 year of software development/support experience.  The ideal candidate will be responsible for handling support issues reported by clients, fixing… ·More...",,"$90,000 - $115,000 a year",
Front End Developer (Contract),Jacobi Robotics,Remote,"  Company Overview*Jacobi Robotics is a new artificial intelligence (AI) and robotics company in Emeryville, CA, commercializing advanced software that will… EmployerActive 7 days ago",,"$90,000 - $115,000 a year",Active 7 days ago
Junior Software Developer,Blackspoke,"Springfield, VA","  A typical work week involves ingesting data sets, monitoring data ingest jobs, developing software packages, monitoring systems and applications, identifying… ·More...",,"$90,000 - $115,000 a year",
.Net Full Stack Developer,AMS,"Orlando, FL 32801 (Central Business District area)",  Our products help our customers by providing software to manage their Martial Arts Schools.  .Net – Full Stack - Developer - Full Time Perm - Direct Hire*. EmployerActive 4 days ago,,"$90,000 - $115,000 a year",Active 4 days ago
Photonic Systems Firmware Engineer,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD 20723",  Have 3+ years of experience developing firmware and software for optical communications and precision synchronization applications. ,,"$90,000 - $115,000 a year",
Software Developer,R&E Distributing,"Hybrid work in Bozeman, MT 59715","  Familiarity with additional compliance software.  Integrate compliance and ACH software with a B2B wholesale platform API.  Job Types: Full-time, Part-time. EmployerActive 7 days ago·More...",,"$90,000 - $115,000 a year",Active 7 days ago
Software Engineer,IronCAD,"Hybrid work in Atlanta, GA 30328","  Design and implement software algorithms.  2-6+ years commercial software engineering/development experience.  Ensure new code, features and software product meet… ",,"$90,000 - $115,000 a year",
Full Stack .NET Software Engineer - Remote,"Kunz, Leigh & Associates",Hybrid work,  Must have a solid understanding of software engineering principles and Agile software development methodologies.  Competitive salaries with bonus potential. EmployerActive 4 days ago,,"$90,000 - $115,000 a year",Active 4 days ago
software developer jobs in United States,,,,,,
Software Developer,TemperaturePro,"Miami, FL","  Collaborate with cross-functional teams to define, design, and ship new features.  Write clean, maintainable code and document your work. ·More...",,"$60,000 - $70,000 a year",
Software Developer,Dee & Simone Co.,Remote,"  Pair Coding with senior developers.  Proven experience in software development with proficiency in Django.  Computer Science, Software Engineering, or a related… EmployerActive 18 days ago·More...",,"$60,000 - $70,000 a year",Active 18 days ago
Software Developer,ProHome,Remote,  Collaborate with other software developers and programmers.  Maintain existing software and design & develop software.  Support for Apple and Android devices. EmployerActive 3 days ago·More...,,"$60,000 - $70,000 a year",Active 3 days ago
Intermediate Software Developer,Zedcor Security Solutions Corp.,"Houston, TX 77032 (IAH - Airport area)","  As an intermediate developer, you should have a solid foundation in software development, complex database queries, problem-solving abilities, and experience… EmployerActive 4 days ago·More...",,"$60,000 - $70,000 a year",Active 4 days ago
