Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Prompt Engineer,CargoMatrix Inc.,"Hybrid work in Hewlett, NY 11557","  Collaboration: Work closely with software developers, data scientists, and product managers to align AI outputs with project requirements and objectives. EmployerActive 4 days ago",,"From $100,000 a year",Active 4 days ago
Full Stack Developer,Rethink,"New York, NY 10001 (NoMad area)","  NET Developer to a very successful and growing team.  Candidate will develop, design, test and deploy websites as well as support and maintain existing… ",,"From $100,000 a year",
"Professional, Software Engineer",MVP Health Care,"Remote in Tarrytown, NY 10591",  Competitive compensation and comprehensive benefits focused on well-being.  A Bachelor’s Degree in Computer Science or equivalent combination of education and… ·More...,,"From $100,000 a year",
Software Developer,Sumitomo Mitsui Banking Corporation,"New York, NY 10172","  Design, development, testing, support, and maintenance of software applications.  The specific salary offered to an applicant will be based on their individual… ·More...",,"From $100,000 a year",
"Software Developer (Financial Analysis), Hybrid Schedule",Columbia University,"New York, NY",  Coordinates and prioritizes tasks within the software development lifecycle in conjunction with the entire software team.  Hours Per Week: Full-Time. ·More...,,"From $100,000 a year",
"Senior Lead Software Engineer, Front End",Capital One,"Hybrid work in New York, NY 10012",  Lead a team of developers with deep experience in distributed microservices and full stack systems.  At least 6 years of professional software engineering… ,,"From $100,000 a year",
Software Developer,Umanist Staffing,"White Plains, NY",  2+ years of professional software development experience.  Identify and troubleshoot software problems and issues.  Strong analytical and troubleshooting skills. ·More...,,"From $100,000 a year",
Software Developer,Eaton,"Hybrid work in Orchard Park, NY",  Manage rolling releases of software in order to ensure compliance with changing requirements.  Experience in developing full stack applications using software… ·More...,,"From $100,000 a year",
"Full-Stack Software Engineer, Intelligent Support Engineering",OpenAI,"New York, NY","  We do this by working through internal use cases focused on Customers (specifically knowledge systems, automation systems, and automated agent systems) to prove… ·More...",,"From $100,000 a year",
"Backend Software Engineer, Leverage Engineering",OpenAI,"New York, NY","  Own the end-to-end development lifecycle for new platform capabilities and integrations with other systems.  Former founder, or early engineer at a startup who… ·More...",,"From $100,000 a year",
"Associate, Software Engineer",BlackRock Investments,"Hybrid work in New York, NY 10001","  Support all phases of the software development lifecycle, including requirements gathering, application design, system development, testing, implementation and… ·More...",,"From $100,000 a year",
Software Engineer,JPMorganChase,"New York, NY 10017 (Midtown area)",  Perform in depth software overviews of delivered software projects including each software component/process to other developers. ·More...,,"From $100,000 a year",
Wealth Management-New York-Associate-Software Engineering,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber… ·More...",,"From $100,000 a year",
Software Engineer II,Disney Entertainment & ESPN Technology,"New York, NY",  Efficiently supports software throughout the lifecycle.  Participates in the code review to gain validated understanding of the fundamental knowledge of software… ·More...,,"From $100,000 a year",
Front End Developer,Arrow Search Partners,"New York, NY","  Work with lead developer to own the design, development, and maintenance of their primary reporting and forecasting platform which contains multiple modules. ·More...",,"From $100,000 a year",
software developer jobs in New York State,,,,,,
"Software Developer (Financial Analysis), Hybrid Schedule",Columbia University,"New York, NY",  Coordinates and prioritizes tasks within the software development lifecycle in conjunction with the entire software team.  Hours Per Week: Full-Time. ·More...,,"$85,000 - $120,735 a year",
Software Engineer,Ombra,"Potsdam, NY 13676","  Strong understanding of software development best practices, including version control (Git).  Offer expert recommendations to engineering teams regarding… EmployerActive 5 days ago·More...",,"$85,000 - $120,735 a year",Active 5 days ago
Mid-level Full Stack Software Developer - ONSITE,BluePath Labs,"West Point, NY 10996","  Will work both alone and as part of a team with other developers, designers, and stakeholders to deliver high quality software solutions. ·More...",,"$85,000 - $120,735 a year",
Junior Software Developer,Elevate HR,"Union, NY",  Develop software according to written technical specifications.  Ability to code software according to published standards and design guidelines. ·More...,,"$85,000 - $120,735 a year",
Software Engineer (Backend),MANTL,"Remote in New York, NY","  Technically enhance the process of getting new clients to production within our Activations squad, which includes integrating with the Clients' core provider… ·More...",,"$85,000 - $120,735 a year",
Software Developer,Umanist Staffing,"White Plains, NY",  2+ years of professional software development experience.  Identify and troubleshoot software problems and issues.  Strong analytical and troubleshooting skills. ·More...,,"$85,000 - $120,735 a year",
Software Engineer,Specialisterne,"New York, NY 10282 (Battery Park area)","  Internship and full-time employment are both fully in-office.  Overtime: Some weekends may be required, depending on maintenance cycles. ·More...",,"$85,000 - $120,735 a year",
Junior Software Developer,Ombligo Inc,"Brooklyn, NY 11220 (Sunset Park area)",  Develop and maintain our internally-developed hardware-diagnostics software.  Develop and maintain our existing e-commerce websites. EmployerActive 4 days ago·More...,,"$85,000 - $120,735 a year",Active 4 days ago
Software Developer,SVAM International Inc.,"Great Neck, NY 11023 (Great Neck Village area)","  Master’s degree in Computer Science, Computer Engineering, or Information Technology.  2 years of experience in HTML, CSS, and SQL Server. ·More...",,"$85,000 - $120,735 a year",
Full Stack Developer,Gorjian Acquisitions LLC,"Great Neck, NY 11021 (Great Neck Plaza area)",  Proficiency with GitHub and version control using Git.  Strong understanding of unit and integration testing best practices.  Ability to work across the stack. EmployerActive 4 days ago·More...,,"$85,000 - $120,735 a year",Active 4 days ago
Fullstack Software Engineer (Remote),PermitFlow,Remote in New York State,"  Owning and shipping features from inception to implementation.  Developing, iterating, and refining extensible and flexible workflow tooling for permitting. ·More...",,"$85,000 - $120,735 a year",
Software Developer,Eaton,"Hybrid work in Orchard Park, NY",  Manage rolling releases of software in order to ensure compliance with changing requirements.  Experience in developing full stack applications using software… ·More...,,"$85,000 - $120,735 a year",
Junior Java Software Engineer,Ninth Wave,"Hybrid work in New York, NY 10022","  Maintain and update software documentation.  Develop, and test back-end software.  The Junior Java Developer will also maintain and patch systems, software, and… ·More...",,"$85,000 - $120,735 a year",
"Full-Stack Software Engineer, Intelligent Support Engineering",OpenAI,"New York, NY","  We do this by working through internal use cases focused on Customers (specifically knowledge systems, automation systems, and automated agent systems) to prove… ·More...",,"$85,000 - $120,735 a year",
"Backend Software Engineer, Leverage Engineering",OpenAI,"New York, NY","  Own the end-to-end development lifecycle for new platform capabilities and integrations with other systems.  Former founder, or early engineer at a startup who… ·More...",,"$85,000 - $120,735 a year",
software developer jobs in New York State,,,,,,
"Backend Software Engineer, Leverage Engineering",OpenAI,"New York, NY","  Own the end-to-end development lifecycle for new platform capabilities and integrations with other systems.  Former founder, or early engineer at a startup who… ·More...",,"$129,300 - $223,600 a year",
"Front End Engineer , Amazon",Amazon Advertising LLC,"New York, NY","  1+ years of agile software development methodology experience.  2+ years of non-internship professional front end, web or mobile software development using… ·More...",,"$129,300 - $223,600 a year",
Software Verification Engineer,Safe Flight Instrument,"White Plains, NY 10604 (Westchester County Airport area)","  Perform software analyses, requirements-based testing and perform structural coverage analysis of airborne software. ·More...",,"$129,300 - $223,600 a year",
University Grad 2025: Software Engineer - Frontend,Ramp Financial,"New York, NY","  Ramp is a financial operations platform designed to save businesses time and money.  As an early employee, you'll be working with a nimble team of committed and… ·More...",,"$129,300 - $223,600 a year",
OSTP Software Developer,Kitware,"Clifton Park, NY",  Existing experience with open source software development is a plus.  Members of the OSTP will learn to develop innovative open-source software platforms with… ·More...,,"$129,300 - $223,600 a year",
Software Engineer I,University of Rochester,"Rochester, NY","  The Software Engineer I provides technical expertise to create, modify and maintain software applications and systems through coding, software testing and… ·More...",,"$129,300 - $223,600 a year",
Software Engineer - Frontend,Datadog,"Hybrid work in New York, NY","  Your work will help thousands of customers to monitor the health and performance of their systems, no matter the scale. ·More...",,"$129,300 - $223,600 a year",
"Associate, Software Engineer",BlackRock Investments,"Hybrid work in New York, NY 10001","  Support all phases of the software development lifecycle, including requirements gathering, application design, system development, testing, implementation and… ·More...",,"$129,300 - $223,600 a year",
Senior Backend Software Engineer,Audicus,"New York, NY","  Oversee and mentor junior developers.  Manage and Execute on software engineering projects such as API development, integrations with partners, database… ·More...",,"$129,300 - $223,600 a year",
C# Developer,INFOTRON,"Hybrid work in New York, NY 10019","  This position requires you to design, construct, and maintain C# code for new and current projects.  You will be required to participate in design and planning… EmployerActive 3 days ago·More...",,"$129,300 - $223,600 a year",Active 3 days ago
Software Engineer,JPMorganChase,"New York, NY 10017 (Midtown area)",  Perform in depth software overviews of delivered software projects including each software component/process to other developers. ·More...,,"$129,300 - $223,600 a year",
Wealth Management-New York-Associate-Software Engineering,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber… ·More...",,"$129,300 - $223,600 a year",
