Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Modeling and Simulation Engineer (Top Secret/SCI Clearance),Inflow-ns,"Barksdale AFB, LA","  You must possess an active Top Secret/SCI clearance.  Assist with modeling tasks requiring the design, development and adaptation of mathematical, statistical,… ",,$55 - $60 an hour,
Python Developer,Amazee Global Ventures Inc,"Anchorage, AK",  Pay Rate: $60 on Contact W2.  We are searching for a Senior Python Developer with a strong background in data analytics and visualization. ·More...,,$55 - $60 an hour,
"Senior Staff Engineer, Modeling",Takeda Pharmaceutical,"Hybrid work in Lexington, MA 02421",  You will also support process development and optimization of production processes for biopharmaceuticals through modeling approaches for use in manufacturing… ,,$55 - $60 an hour,
SDE- * Python Django,Iconvergence,"Redmond, WA 98052 (SE Redmond area)","  You will be responsible for developing and.  Management System using Django and Django REST Framework (DRF), while also.  (DRF) to manage server hardware data. EmployerActive 14 days ago·More...",,$55 - $60 an hour,Active 14 days ago
Junior AWS developer - Remote,JSR Tech Consulting,Remote in United States,"  Remote, long term contract role with a major Financial Services firm.  The Junior AWS Developer will aid in the design and implementation of modernizing our… ·More...",,$55 - $60 an hour,
Senior Python Engineer,RITAM SOFT LLC,"Bellevue, WA 98007","  This role requires hands-on experience in developing and deploying software solutions in a lab environment, with a strong emphasis on network monitoring and… EmployerActive 5 days ago·More...",,$55 - $60 an hour,Active 5 days ago
Python developer,InnovIT USA,"Philadelphia, PA","  Strong in SQL skills.  Good to have AWS services knowledge – ECS, Glue, , Lambda, Redshift, Athena, Cloudwatch.  Good to have Dremio Knowledge. ·More...",,$55 - $60 an hour,
Python Developer,Azure Standard,"Remote in Dufur, OR 97021","  Ship code that matters to real people, across Azure's warehouse management system, ERP, and e-commerce site.  Minimum 5 years experience required. ·More...",,$55 - $60 an hour,
Backend Python Developer,Cliently,"San Antonio, TX",  Experience with building Restful APIs with python.  Further develop the Cliently API backend (currently a python Flask project). ·More...,,$55 - $60 an hour,
Web Developer - Entry Level,Hardin Design,"Madison, WI 53703 (Marquette area)","  Our designers create elegant, easy to use interfaces and our developers bring cutting edge expertise to our projects, with an eye for quality, security and bug… EmployerActive 3 days ago·More...",,$55 - $60 an hour,Active 3 days ago
Python Developer,G2i Inc.,Remote in Oklahoma,"  Duration: 3-4 weeks, full-time (40 hours per week).  We are looking for experienced Python Developers to join our team for a short-term project with an AI… ·More...",,$55 - $60 an hour,
Software Engineer,Great River Technology,"Albuquerque, NM 87113 (Wildflower area)","  The ideal candidate will have a Bachelor's degree in Electrical/Computer Engineering or Computer Science, with a strong background in C/C++ and experience in… EmployerActive 4 days ago",,$55 - $60 an hour,Active 4 days ago
Python Developer,Golden Eagle IT Technologies Pvt Ltd,"Remote in Indore, WV",  The ideal candidate will have extensive experience in Python development and a proven track record of delivering high-quality software solutions. EmployerActive 4 days ago·More...,,$55 - $60 an hour,Active 4 days ago
Database & SQL Coding Tutor,Outlier Ai,"Jackson, MS","  We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. ",,$55 - $60 an hour,
Python WebDeveloper,KuberaTech,"Mechanicsburg, PA 17055",  Qualifications and Experience required: 5-8+ years experience in developing software applicationsHighly skilled Python developer with experience in React and… ·More...,,$55 - $60 an hour,
python jobs,,,,,,
