Job Title,Company Name,Location,Description,Salary,MetaData,Posting
"CNC Lathe Programmer, Set-up and Operation",Turbo Machined Products,"Utica, NY",  5 years of experience CNC lathe programming experience preferred.  Inspect and control the quality of product at the specific operation being performed. ,,$18 - $22 an hour,
Prompt Engineer,CargoMatrix Inc.,"Hybrid work in Hewlett, NY 11557","  Collaboration: Work closely with software developers, data scientists, and product managers to align AI outputs with project requirements and objectives. EmployerActive 4 days ago",,$18 - $22 an hour,Active 4 days ago
"Professional, Software Engineer",MVP Health Care,"Remote in Tarrytown, NY 10591",  Contributing to the analysis and development efforts during each sprint cycle.  Competitive compensation and comprehensive benefits focused on well-being. ·More...,,$18 - $22 an hour,
"Backend Software Engineer, Leverage Engineering",OpenAI,"New York, NY",  Collaborate closely with product engineers and internal customers to understand their problems and implement effective solutions. ·More...,,$18 - $22 an hour,
"Full-Stack Software Engineer, Intelligent Support Engineering",OpenAI,"New York, NY","  Former founder, or early engineer at a startup who has built a product from scratch is a plus.  Collaborate closely with engineers, data scientists, information… ·More...",,$18 - $22 an hour,
Software Engineer,JPMorgan Chase,"New York, NY 10017 (Midtown area)",  Perform in depth software overviews of delivered software projects including each software component/process to other developers. ·More...,,$18 - $22 an hour,
Principle Software Engineer,CareAbout Health,"Hybrid work in New York, NY 10036","  5 years’ experience designing and implementing software, test-driven development, cloud technologies, and container technologies. ·More...",,$18 - $22 an hour,
Software Engineer,JPMorgan Chase,"New York, NY 10017 (Midtown area)",  Skills Required: Requires 5 years of experience with the following: Application Architecture Disciplines with Cloud Based and Native Microservices Architecture;… ·More...,,$18 - $22 an hour,
"Associate, Software Engineer",BlackRock Investments,"Hybrid work in New York, NY 10001","  Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. ·More...",,$18 - $22 an hour,
Software Engineer Trainee,"Mill-Max Mfg., Corp","Oyster Bay, NY 11771","  Experience in systems design or a solid understanding of software development, program lifecycle, database development (Oracle and/or SQL), unit testing and… ·More...",,$18 - $22 an hour,
Software Engineer - Compute,X Corp.,"New York, NY","  Actively engage in knowledge sharing - great documentation is really important, and we should have that for the folks who operate the platform, and for the… ·More...",,$18 - $22 an hour,
Python Software Engineer II,JPMorgan Chase,"New York, NY 10001","  Advanced in one or more programming language(s)-python, java.  Demonstrated proficiency in software applications and technical processes within a technical… ·More...",,$18 - $22 an hour,
Software Engineer,Arrow Search Partners,"Hybrid work in New York, NY","  Working knowledge of source control (git, TFS, or similar) and developing with a team.  Understanding of data structures, algorithms, and eager to build scalable… ·More...",,$18 - $22 an hour,
Software Engineer - C#,Millennium Management,"New York, NY","  Experience working on AWS and cloud technologies.  These systems cover Margin, Cash and Collateral Management, Treasury Operations, and Equity Finance; they are… ·More...",,$18 - $22 an hour,
Software Engineer - Liquidity Trade Processing - Associate - NYC,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  A summary of these offerings, which are generally available to active, non-temporary, full-time and part-time US employees who work at least 20 hours per week. ·More...",,$18 - $22 an hour,
software engineer jobs in New York State,,,,,,
Gameplay Engineer - Unity (Remote),Myr,"Remote in New York, NY",  Social VR has been focusing more on building a platform and not enough on building great games.  We hope to build these great experiences first. ·More...,,"$107,000 - $166,000 a year",
Principle Software Engineer,CareAbout Health,"Hybrid work in New York, NY 10036","  5 years’ experience designing and implementing software, test-driven development, cloud technologies, and container technologies.  New York, New York 10036. ·More...",,"$107,000 - $166,000 a year",
Software Engineer,OptionMetrics,"Hybrid work in New York, NY","  Our data and analytics models are utilized by over 350 investment banks, hedge funds, asset management firms, and academic institutions globally, solidifying… ·More...",,"$107,000 - $166,000 a year",
University Grad 2025: Software Engineer - Frontend,Ramp Financial,"New York, NY",  Track record of shipping high quality products and features or a portfolio of side projects.  Experience with one or more object-oriented programming languages. ·More...,,"$107,000 - $166,000 a year",
Senior Backend Software Engineer,Audicus,"New York, NY","  5-10 Years' experience with programming languages, and the interest in working with new languages as needed (Python preferred).  WHAT WE'RE LOOKING FOR. ·More...",,"$107,000 - $166,000 a year",
Software Engineer,JPMorgan Chase,"New York, NY 10017 (Midtown area)","  JPMorganChase, one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world… ·More...",,"$107,000 - $166,000 a year",
Intermediate Software Developer,Comtron,"Remote in Great Neck, NY 11021","  Help design, develop, test, and maintain the software in accordance with functional requirements and scope of work.  Ensure project timelines are met. EmployerActive 2 days ago·More...",,"$107,000 - $166,000 a year",Active 2 days ago
Software Engineer,Peloton,"Hybrid work in New York, NY 10011",  Expert understanding of object-oriented and/or functional programming design principles.  This policy of equal employment opportunity applies to all practices… ·More...,,"$107,000 - $166,000 a year",
Software Engineer I,University of Rochester,"Rochester, NY","  Has some knowledge of other aspects of software development, including business analysis, requirements generation, deployment, basic project management,… ·More...",,"$107,000 - $166,000 a year",
"Software Engineer II, Backend, Marketplace and Pricing (multiple teams hiring)",Uber,"New York, NY","  Design, develop, and maintain robust and scalable software solutions.  Experience working on scalable backend systems utilizing a microservices architecture. ·More...",,"$107,000 - $166,000 a year",
"Front End Engineer , Amazon",Amazon Advertising LLC,"New York, NY","  1+ years of agile software development methodology experience.  1+ years of computer science fundamentals (object-oriented design, data structures, algorithm… ·More...",,"$107,000 - $166,000 a year",
