Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Data Scientist,Confidential Priviately-Held Company,"Chicago, IL 60604 (The Loop area)",  A small privately-held investment management company is seeking a Data Scientist with a strong background in statistics and financial analysis to use… EmployerActive 9 days ago,,"$200,000 - $400,000 a year",Active 9 days ago
Big Data Engineer for AI Training,Outlier Ai,"Chicago, IL","  For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply.  Certain projects offer incentive payments. ",,"$200,000 - $400,000 a year",
Senior Data Scientist,The University of Chicago,"Chicago, IL 60637 (Woodlawn area)",  Runs weekly lab meetings and serves as point of contact for trainees and collaborating data scientists.  Experience with electronic health record data. ·More...,,"$200,000 - $400,000 a year",
Data Scientist II,Endeavor Health,"Skokie, IL 60077","  Advanced degree in statistics, applied mathematics, predictive analytics, computer science, operations research or related quantitative discipline. ·More...",,"$200,000 - $400,000 a year",
Data Scientist,JPMorgan Chase,"Chicago, IL 60603 (The Loop area)","  These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition… ·More...",,"$200,000 - $400,000 a year",
AI Engineer / LLM / RAG,Motion Recruitment,"Chicago, IL 60603","  Commitment to staying current with AI/ML trends and driving business value through intelligent solutions.  Knowledge of cloud infrastructure management, data… ",,"$200,000 - $400,000 a year",
Junior Data Scientist,V15P1TALONNN,"Chicago, IL",  Analyze large and complex data sets using statistical and machine learning techniques to develop predictive models.  Experience with data visualization tools. ·More...,,"$200,000 - $400,000 a year",
Data Scientist,Loyola University Chicago,"Maywood, IL 60153","  The Data Scientist should have deep expertise in the methods used to analyze data and deep knowledge of data types, topics, and scientific challenges and… ·More...",,"$200,000 - $400,000 a year",
2025 Data Science Analyst Program - Summer Analyst,JPMorgan Chase,"Chicago, IL 60645 (Rogers Park area)","  Work on agile teams with peers and experienced data scientists.  You will work on projects that focus on machine learning, business intelligence, data… ·More...",,"$200,000 - $400,000 a year",
Data Scientist II,Caterpillar,"Chicago, IL 60661 (West Loop Gate area)","  Performs data cleansing and data quality improvement using SQL and Python programming.  Maintain a data pipeline integrating CAT customer, asset, and contact… ·More...",,"$200,000 - $400,000 a year",
DATA SCIENTIST,Big Bright International,"Chicago, IL","  Data Scientist at various unanticipated client locations throughout the US to lead data assessment, modeling and forecast for big size multi-national companies;… ·More...",,"$200,000 - $400,000 a year",
Senior Data Scientist,PayPal,"Hybrid work in Chicago, IL","  Seeking a Data Scientist for Pricing Optimization Analytics team who is enthusiastic about problem-solving, adept at generating valuable insights from data… ·More...",,"$200,000 - $400,000 a year",
Data Scientist,"Chicago Fire Football Club, LLC","Chicago, IL",  Demonstrated experience analyzing data to support decision-makers and derive insights.  The role will work with colleagues in the analytics department to set… ·More...,,"$200,000 - $400,000 a year",
Machine Learning Engineer/Data Scientist,Contrast,"Chicago, IL 60654","  You will collaborate closely with our software engineers and data scientists to design, implement, and optimize AI models that address real-world challenges for… ·More...",,"$200,000 - $400,000 a year",
Data Scientist,MessageControl,"Chicago, IL 60606","  Manage experience with data, including complex queries, exploratory data analysis, data visualization, advanced modeling and communication of applicable… ·More...",,"$200,000 - $400,000 a year",
"data scientist jobs in Chicago, IL",,,,,,
Data Scientist,Morningstar,"Hybrid work in Chicago, IL 60602","The Group: Morningstar’s Research group provides independent analysis on individual securities, funds, markets, and portfolios. The Research group also…·More...",,"From $86,500 a year",
Senior Data Scientist,Morningstar,"Hybrid work in Chicago, IL 60602","About the Role In this role, you will participate in the analysis of new feature/content requests and help multifunctional development teams to understand…·More...",,"From $86,500 a year",
Data Scientist - Fraud (Hybrid),Enova International,"Hybrid work in Chicago, IL 60604","We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas or take over…·More...",,"From $86,500 a year",
DATA SCIENTIST,Big Bright International,"Chicago, IL","Data Scientist at various unanticipated client locations throughout the US to lead data assessment, modeling and forecast for big size multi-national companies…·More...",,"From $86,500 a year",
Senior Data Scientist,Amazee Global Ventures Inc,"Chicago, IL",This is the Full-Time/ Contract W2 opportunity with Amazee Global Ventures Inc. We welcome all qualified applicants. Job Title : Senior Data Scientist…EmployerActive 4 days ago·More...,,"From $86,500 a year",Active 4 days ago
Senior Data Scientist,Tovala,"Hybrid work in Chicago, IL 60614","We’re Tovala, a food-tech company reinventing home cooking to save consumers time. Through an innovative combination of hardware, software, and fresh food…·More...",,"From $86,500 a year",
"PhD Data Scientist, R&D",Epsilon,"Hybrid work in Chicago, IL 60601","Overview How You'll Make an Impact As a Data Scientist in our Decision Sciences R&D organization, you will be responsible for researching and building…·More...",,"From $86,500 a year",
"Specialist, Data Scientist",Northern Trust Corp.,"Chicago, IL 60603 (The Loop area)","About Northern Trust: Northern Trust, a Fortune 500 company, is a globally recognized, award-winning financial institution that has been in continuous…·More...",,"From $86,500 a year",
"Data Scientist II, Outcomes Research",Tempus,"Remote in Chicago, IL",Passionate about precision medicine and advancing the healthcare industry? Recent advancements in underlying technology have finally made it possible for AI…·More...,,"From $86,500 a year",
Senior Data Scientist,Reyes Holdings,"Rosemont, IL 60018",Responsibilities: Pay Transparency Statement: The compensation philosophy reflects the Company’s reasonable expectation at the time of posting. We consider…·More...,,"From $86,500 a year",
Data Scientist,Colsh Consultants,"Chicago, IL",Job Responsibilities Need someone with great forecasting skills Need someone who can predict a value in the future that’s not 0 or 1 Demand forecasting (Find…·More...,,"From $86,500 a year",
Machine Learning Scientist,Strong Analytics,"Remote in Chicago, IL",Strong Analytics is seeking Machine Learning Scientists to help design and develop machine-learning based solutions for clients ranging from startups to…·More...,,"From $86,500 a year",
Senior Data Scientist(AI),Qualitest,"Chicago, IL",Date: 30 Oct 2024 Company: Qualitest Group Country/Region: US Qualitest is looking for a talented and detail-oriented Data Scientist to join our assessment…·More...,,"From $86,500 a year",
